title,slug,outcome,avg_price,current_price,size,value_usd,cash_pnl,percent_pnl
Menorca: Alex Martinez vs Raul Brancaccio,atp-alexmar-brancac-2026-04-05,Raul Brancaccio,0.830835,0.0,35937.407137,35919.438433431504,6061.382774762108,20.300661382825723
Bucharest Open: Mariano Navone vs Daniel Merida Aguilar,atp-navone-aguilar-2026-04-05,Mariano Navone,0.813539,0.0,15379.513011,11534.63475825,-977.1988772059289,-7.810197175550279
"Upper Austria Ladies Linz, Qualification: Tamara Korpatsch vs Jule Niemeier",wta-korpats-niemeie-2026-04-05,Tamara Korpatsch,0.89863,0.0,6593.738219,6557.472658795501,632.1416830555305,10.668461992143605
"Upper Austria Ladies Linz, Qualification: Madison Brengle vs Dominika Salkova",wta-brengle-salkova-2026-04-05,Dominika Salkova,0.857606,0.0,6377.098558,5959.398602451,490.3606165188522,8.966121972094417
"Rolex Monte Carlo Masters, Qualification: David Goffin vs Emilio Nava",atp-goffin-nava-2026-04-05,Emilio Nava,0.645438,0.0,4600.164388,4597.864305806001,1628.743403544057,54.85608222633316
"Rolex Monte Carlo Masters, Qualification: Nikoloz Basilashvili vs Cristian Garin",atp-basilas-garin-2026-04-05,Cristian Garin,0.698303,0.0,4458.552652,4456.323375674,1342.9026831244435,43.13270886706771
"Rolex Monte Carlo Masters, Qualification: Damir Dzumhur vs Alexander Blockx",atp-dzumhur-blockx-2026-04-05,Alexander Blockx,0.53265,0.0,5622.715242,3710.9920597200003,716.0527860687004,23.90875809631091
Los Angeles Dodgers vs. Washington Nationals,mlb-lad-wsh-2026-04-05,Los Angeles Dodgers,0.65,0.0,3627.0615,2375.7252825,18.1353075,0.7692307692307693
Suns vs. Bulls: O/U 238.5,nba-phx-chi-2026-04-05-total-238pt5,Under,0.47476,0.0,4300.841528,2085.90814108,44.04061724671984,2.156879265312992
Baltimore Orioles vs. Pittsburgh Pirates: O/U 8.5,mlb-bal-pit-2026-04-05-total-8pt5,Over,0.454981,0.0,4180.39,1943.88135,41.88332740999985,2.2020699765484633
Grizzlies vs. Bucks: O/U 227.5,nba-mem-mil-2026-04-05-total-227pt5,Under,0.479735,0.0,2601.168108,1248.56069184,0.6893095486197471,0.05523882977058225
Rolex Monte Carlo Masters: Cameron Norrie vs Miomir Kecmanovic,atp-norrie-kecmano-2026-04-06,Cameron Norrie,0.719876,0.0,1440.81294,1087.8137697,50.60711370456016,4.879173635459456
Spread: Clippers (-11.5),nba-lac-sac-2026-04-05-spread-away-11pt5,Clippers,0.524932,0.0,1964.61542,1051.0692497,19.779748048560144,1.9179627075507064
